,direction,ret,pnl,equity
12006,-1,2.073992741026294,-2.073992741026294,135.85711003476135
12007,-1,9.392019223145615,-9.392019223145615,126.46509081161574
12008,-1,11.698543165796828,-11.698543165796828,114.76654764581892
12009,1,-0.42601101542868086,-0.42601101542868086,114.34053663039023
12010,-1,-9.43350293351483,9.43350293351483,123.77403956390506
12011,-1,-1.888482086833292,1.888482086833292,125.66252165073836
12012,1,6.032098073384488,6.032098073384488,131.69461972412284
12013,-1,-2.8619969431438568,2.8619969431438568,134.5566166672667
12014,-1,-0.7309318162444616,0.7309318162444616,135.28754848351116
12015,-1,4.142249728926693,-4.142249728926693,131.14529875458447
12016,-1,-1.5222553735614688,1.5222553735614688,132.66755412814595
12017,1,-4.445662434152542,-4.445662434152542,128.2218916939934
12018,1,4.2648599907394384,4.2648599907394384,132.48675168473284
12019,-1,-8.89148731440565,8.89148731440565,141.3782389991385
12020,1,17.554981225923523,17.554981225923523,158.933220225062
12021,-1,-6.389037628388956,6.389037628388956,165.32225785345096
12022,1,-2.0092669828734624,-2.0092669828734624,163.3129908705775
12023,-1,1.7051752067523276,-1.7051752067523276,161.60781566382516
12024,1,0.6088873193135187,0.6088873193135187,162.21670298313867
12025,1,1.0959304449467637,1.0959304449467637,163.31263342808543
12026,-1,7.244523992159201,-7.244523992159201,156.06810943592623
12027,-1,-3.6500568800524946,3.6500568800524946,159.71816631597872
12028,-1,13.023289780368136,-13.023289780368136,146.69487653561058
12029,-1,-2.856535083719573,2.856535083719573,149.55141161933014
12030,-1,18.542386070716127,-18.542386070716127,131.009025548614
12031,-1,-10.801429672376694,10.801429672376694,141.8104552209907
12032,-1,1.7009385535945853,-1.7009385535945853,140.1095166673961
12033,-1,5.466372697289672,-5.466372697289672,134.64314397010642
12034,-1,-8.437896474901038,8.437896474901038,143.08104044500746
12035,-1,4.799688931552569,-4.799688931552569,138.2813515134549
12036,-1,2.1254243257844885,-2.1254243257844885,136.15592718767041
12037,-1,-0.9107025766803287,0.9107025766803287,137.06662976435075
12038,-1,0.6071903481016743,-0.6071903481016743,136.45943941624907
12039,-1,-4.614366465698809,4.614366465698809,141.0738058819479
12040,-1,3.4016291373829652,-3.4016291373829652,137.67217674456492
12041,-1,-6.679499401880638,6.679499401880638,144.35167614644556
12042,-1,-19.32273216141204,19.32273216141204,163.6744083078576
12043,1,-6.879547045751313,-6.879547045751313,156.79486126210628
12044,1,9.382120359200957,9.382120359200957,166.17698162130725
